rank,tnt_name,tnt_sunflower,mjq_name,mjq_sunflower,dcx_name,dcx_sunflower,syx_name,syx_sunflower,lyw_name,lyw_sunflower,zzy_name,zzy_sunflower,yhx_name,yhx_sunflower,hjl_name,hjl_sunflower
79,吐一个泡泡的鱼,200,提·提拉米苏,150,特困一点也不困,3740,萱哥不是萱哥是萱哥,250,刘耀文女友粉,510,吃爆米花的真知棒,120,马鑫茹,140,请各位爸爸妈妈们给孩子个机会,160
80,银河系的小辰,200,新春快乐万事胜意,150,宝贝心心天天开心,3730,超i小宋,250,奶困小文,500,是美好的一天吧,120,想当小熊软糖,140,李飞你伤害人真有一套,150
81,₩,200,野原屁屁兔,150,看戏真棒数据也要搞！,3660,颜忴,250,别踩刘耀文猪儿,500,安娜娜娜,120,想去看海,130,发光的少年们,150
82,爆爆爆米花超爱太闹腾,200,TNT全世界最棒的小朋友,150,不做数据都会被我暗鲨,3660,轩轩今天开心吗？,240,小晗不憨.,500,芊屿樱ya,120,钒溪会好好学音乐,130,希望这个名字能引起你的注意,150
83,不吐泡泡的鱼,190,plpww,150,心囡 妈妈爱你,3560,love song,240,ci饭饭小朋友,500,洲妹,120,·池穗岁岁平安·,130,超级二霖,150
84,L炸,180,芯芯MJQ,150,棠kiyoi,3490,鱿鱼尤鱼,240,小李不熬夜.,480,是珍芳呀～,120,晚安熊睡屋,120,镜心,150
85,吐两个泡泡的鱼,180,外星小肉肉,150,完全理想型,3390,宋一个亚轩给我,240,lilwwen,480,美女zjy,110,严浩翔一定会发光的,120,洛雪很向往重庆,150
86,祺祺玉米,180,龙君煜,150,丁程鑫快来教我做数学,3300,Strawberry0304,240,喜文,440,七瓣橘子,110,小闫~,120,沫兮呀,130
87,小猪想rua,170,能整能泥能当妈,140,寻艺百度送货微指记得做,3190,王子.,240,好费脑子,440,-七只奶团子妙妙屋-,100,-心动男嘉宾TNT-,120,海盐小眠,130
88,！！！:,170,不困不困,140,没梗那就给小福鑫拜个早年,3020,snxhxy,220,五十一,430,想喝幽兰拿铁,100,略略豚骨拉面嘎嘎噶,120,贺西北风啦,130
89,小怡要努力,150,草莓味脆脆鲨,140,北电门口吃烧烤,3000,TNT今天翻牌了吗,220,·奶文博士·,420,zzy.c,100,安颜姐姐,120,为什么没人告诉我月末清零,130
90,瑜瑜小盆友,150,十四xiao,140,中戏草地看星星,3000,轩轩要开心,210,颜忴,410,小琪要减肥,100,我爱吃毛肚,120,凌霖零,130
91, 轩轩要恰饭吗,150,每天想马嘉祺1001遍,140,各位儿媳好厉害,2840,是小涵呀,210,吐两个泡泡的鱼,400,真源真圆¥¥,100,RA-SYX,110,是美好的一天吧,120
92,竺子,140,祺祺是只喵,130,丁婆就要做数据！,2800,奶味鸭轩儿,210,有钱婬,400,陪小炸一起走✨ ,100,·春日桃桃酱·,110,xiao严,120
93,刘眼泪的baby-,140,ovohiii,130,心心妹崽吃费列罗吗,2740,限定小王.,210,不吐泡泡的鱼,350,花园在逃唔西迪西,100,所谓严值高,110,奶茶使我快乐,120
94,小轩遨游太空,130,·原野井村-,130,老公能不能叫我声爸爸,2730,SLYRXX,210,爱刘耀文100年,350,从八斤,100,千程程程,110,又没抢到宵夜的栓栓,110
95,哆哆嗦嗦……,130,树懒球,110,仙女酱,2710,轩轩不是萱萱-,210,芝心.耀丸,350,李有病阿,100,ZAYN,110,霄霄今年一定暴富,110
96,五十一,120,连静怡,110,momochan828,2690,丫丫,210,咬闻的鹅鹅,310,大区长小嬛嬛,100,시영,100,桉树旁的星,110
97,若芽色的椰子,120,苏沫沫♥,110,老公少吃点,2670,T.Q.A,210,-雾都文文子-,310,海盐是柠檬哒,100,葭月银河系,100,小狗崽,110
98,安颜姐姐,120,六斤嘉琪我都要,110,吃不吃饭啊到底,2660,,200,星耀满月,310,阳舒可,100,一只快乐小羊,100,·霖霖念念·,110
99,沫兮呀,110,安颜姐姐,110,小猪和饭饭很熟,2640,追星真累啊,200,l y x x y,310,拖鞋供应商,70,鱼没耐心烤鱼,100,来口猫咪吗,110
100,18LLLLLLL,110,鸡汤喝多了会胖,100,老公 我们一起高考加油！,2600,heiyulau,200,别踩我猪儿`,300,雨雨鱼鱼雨,70,onusang,100,守护TNT的小卷毛,100
